IDfg,AVG+,OBP+,SLG+,BABIP+,BB%+,HardHit%,wFB,wSL,wCT,wCB,wCH,wSF,vs RHP,vs LHP
15112,98,103,98,108,130,0.49,-4.5,9.9,-1.9,-3.4,1.5,0.5,0.233,0.261
19290,91,107,98,96,139,0.435,-4.6,8.4,1.2,-0.3,2.1,-0.5,0.214,0.232
26121,96,97,100,99,106,0.42,3.1,-5.6,4.9,-2.7,1.0,0.0,0.236,0.239
21840,113,103,93,112,77,0.33899999999999997,-11.0,4.5,1.1,0.0,1.3,0.0,0.261,0.294
26294,99,100,88,93,113,0.308,-3.7,1.7,-3.0,1.1,-0.2,-1.1,0.251,0.223
19734,94,99,85,99,119,0.376,-2.2,-2.7,-1.8,-5.0,0.9,1.6,0.24,0.133
23401,95,92,88,106,69,0.252,-2.3,-8.4,1.4,-0.6,-0.6,-0.6,0.229,0.22
17452,78,82,93,92,85,0.413,3.0,-9.2,-5.1,-3.7,0.8,-0.9,0.181,0.204
27555,103,109,116,121,135,0.37,3.3,2.5,1.9,1.8,0.5,-0.9,0.252,0.273
7739,96,96,108,95,85,0.41,-5.7,0.7,-0.9,1.0,4.9,1.6,0.233,0.254
27899,108,100,96,107,80,0.35,-0.2,1.5,-2.9,-1.8,4.6,-1.2,0.251,0.305
13620,99,101,95,93,98,0.38799999999999996,4.7,0.7,-4.6,-2.7,-0.1,-1.2,0.227,0.302
24934,110,115,114,108,132,0.374,7.8,5.6,-2.3,-1.4,-2.3,2.9,0.248,0.287
16442,110,108,108,99,115,0.39799999999999996,1.2,7.3,2.6,0.9,-0.5,0.1,0.264,0.262
21454,99,108,103,95,156,0.495,-1.5,-1.0,2.9,2.5,5.4,-1.9,0.233,0.274
24618,94,97,110,83,85,0.335,-4.5,-2.5,3.1,-0.5,6.3,-0.2,0.216,0.248
16997,107,107,96,107,120,0.354,11.5,-4.1,-2.0,0.3,-2.4,0.7,0.255,0.265
18015,95,89,108,100,59,0.41200000000000003,-2.3,-5.4,4.2,2.0,-2.6,-0.6,0.237,0.198
27531,104,98,100,110,85,0.322,5.5,-0.9,-1.4,-1.7,-1.2,-0.1,0.256,0.208
14854,94,96,108,96,97,0.408,-6.5,-0.2,2.7,2.3,4.6,1.6,0.232,0.229
5517,89,84,118,80,69,0.374,-1.4,3.3,-0.1,-1.3,0.4,0.3,0.23,0.198
19921,97,100,82,106,117,0.377,-8.5,1.3,0.5,-3.0,3.5,1.6,0.222,0.271
16725,90,93,90,80,105,0.35100000000000003,-12.9,-0.8,5.9,-0.9,-0.1,-0.3,0.235,0.189
15491,84,98,81,87,142,0.375,-4.5,-3.7,1.6,2.6,-1.2,-1.6,0.173,0.262
21865,84,85,89,92,92,0.373,-4.6,-1.1,-2.4,0.7,-1.5,-1.2,0.202,0.194
